subject,predicate,object
Chaldeans,contributedTo,Babylonian culture and astronomy
Persian conquest by Cyrus the Great,date,539 BCE
Destruction of Solomon's Temple,resultedIn,Babylonian Captivity
Mushussu,instanceOf,Mythological creature
Nanna (Sin),symbol,Crescent moon
E-abzu,associatedWith,freshwater and wisdom
Modern-day Mosul,near,Tigris River
Kalhu,locatedIn,Assyria
Seleucid Empire,territoryIncludes,Syria
War with Assyria,involves,Babylon
Mari,capitalOf,Kingdom of Mari
Enuma Elish,contains,cosmogony
Babylonian captivity of the Jews,endedBy,Cyrus the Great
Carchemish,battleParticipants,Neo-Assyrian remnants
Sumu-la-El,predecessor,Unknown or not well documented
Mattaniah,role,King of Babylon
Tiglath-Pileser III,introduced,standing army
Classical Greek Histories,describe,ancient city of Babylon
Amorite people,instanceOf,ancient Semitic people
Kassite dynasty,notableKing,Burna-Buriash II
Babylonian Astronomical Texts,content,Celestial omens
Esarhaddon,built,palace in Babylon
Yamhad kingdom,capital,Aleppo
Ur-Ninurta,title,King of Babylon
Kandalanu,instanceOf,King of Babylon
Enuma Elish,datesTo,circa 12th century BCE
Necho II,knownFor,Military campaigns in the Levant
Inanna,festival,Akitu festival
Ancient Babylonian era,region,Mesopotamia
Babylon,ruledBy,Nabonidus
Nabu-shuma-ukin I,dynasty,Dynasty of Babylon
Revolt of Shamash-shum-ukin,Ashurbanipal,King of Assyria
Neo-Babylonian Empire,famousFor,Ishtar Gate
Dur-Kurigalzu,locatedNear,modern Baghdad
Siege of Jerusalem (587 BCE),instanceOf,Historical Event
Seleucus I Nicator,instanceOf,Hellenistic ruler
Second Dynasty of Isin,timePeriod,c. 1157–1025 BC
Crown Prince of Babylon,instanceOf,Title
Nabû-kudurrī-uṣur I,religion,Ancient Mesopotamian religion
Babylonian cuneiform,usedIn,Babylon
Babylonian astrology,originatedIn,Babylon
Gate of All Nations in Babylon,features,Massive stone sculptures of bulls and lions
Nanna (Sin),templeName,Ekur
Kalhu,knownFor,temples
Ashur-nirari V,conflictWith,Babylonian Kingdom
Dynasty III of Babylon,archaeologicalEvidence,Kassite kudurru stones
Babylonian clay tablets,content,literature
Goddess Ishtar,associatedWith,Sexuality
Wahibre Haaibre,knownFor,Rule during the Second Intermediate Period
Ekur,locatedIn,ancient city of Nippur
Meli-Šipak,successor,Marduk-apla-iddina I
Palace of Sargon II at Khorsabad,associatedWith,Neo-Assyrian Empire
Sin (Moon God),fatherOf,Inanna
Southern Mesopotamia,location,Mesopotamia
Dudu,predecessor,Samsu-Iluna
Babylonian monarchy,associatedWith,Babylon
Meli-Šipak,dynasty,2nd Dynasty of Isin
Assyrian army,associatedWith,Assyrian Empire
Sumerian religion,influenced,Babylonian religion
Second Abbasid Caliph,built,City of Baghdad
Nabu,role,God of writing
Nebonidus,notableFor,Worship of the moon god Sin
Cyrus I,reignPeriod,c. 600–580 BC
1st Dynasty of Isin,notableRuler,Lipit-Ishtar
Dynasty IV of Babylon,precededBy,Dynasty III of Babylon
Kassite kudurru stones,origin,Babylon
Akkadian,writtenIn,Cuneiform script
Darius III,deathYear,330 BC
Babylonian Kassite period,associatedWith,Kassite dynasty
Siege of Jerusalem (597 BCE),occurredIn,Jerusalem
Dynasty of Babylon,notableRuler,Hammurabi
Neo-Assyrian Empire,conquered,Babylon
Golden Age of Islam,majorCenters,Baghdad
Karaindash,predecessor,Agum II
King Hammurabi of Babylon,dynasty,First Babylonian Dynasty
Modern Baghdad,hasLandmark,Baghdad Tower
Belshazzar,role,Regent of Babylon
Enki,myth,Flood myth
Eanna temple complex,function,religious worship
Neo-Babylonian period,timeFrame,626 BC to 539 BC
Amorite dynasty,language,Akkadian
Ninurta-nādin-šumi,reignPeriod,1127–1122 BC
Zimri-Lim,enemyOf,Eshnunna
Old Assyrian period,timeFrameEnd,circa 1750 BC
Babylon city walls,material,Mudbrick
Ninhursag,alsoKnownAs,Nintu
Marduk's temple,partOf,Babylonian temple complex
Book of Ezekiel,author,Ezekiel
Babylonian chronicles,foundIn,Babylon and surrounding regions
Ancient Babylonian religion,includedRitual,sacrifices
Gate of All Nations in Babylon,locatedIn,Babylon
Ancient city of Uruk,knownFor,early urbanization
New Year festival (Akitu),includedRitual,Temple ceremonies
Kassites,introduced,Kassite dynasty
Kar-Tukulti-Ninurta,abandoned,after Tukulti-Ninurta I's reign
Teispes,title,King of Anshan
Ancient Babylonians,practiced,Astronomy
Enlil,parent,Anu
Chaldean dynasty of Babylon,knownFor,Neo-Babylonian Empire
Ninhursag,associatedWith,creation myths
Old Assyrian dynasty,instanceOf,dynasty
Ancient Babylon,archaeologicalSite,modern-day Iraq
Invasion by the Hittites,ended,Old Babylonian Empire
Nergal,worshipedIn,Nippur
Ammiditana,reignPeriod,circa 1683–1647 BC
King Jehoiakim,vassalTo,Nebuchadnezzar II
Neriglissar,notableFor,Restoring and building temples in Babylon
E-babbar,historicalPeriod,ancient Mesopotamia
Defeat of Assyrian Empire,instanceOf,Historical event
Ancient Mesopotamian Empire,timePeriod,Ancient history
Birs Nimrud,alsoKnownAs,Ziggurat of Borsippa
Larsa dynasty,language,Akkadian
Babylonian cuneiform,usedFor,Akkadian language
Son of Nabonidus,childOf,Nabonidus
Palace of Ashurbanipal at Nineveh,instanceOf,ancient palace
Ashurnasirpal II,father,Tukulti-Ninurta II
Nabu,mentionedIn,Enuma Elish
Kanesh,locatedIn,Anatolia
Shamash Festival,associatedWith,Sun god
Psamtik I,knownFor,Reunification of Egypt
Isin-Larsa period,culturalContext,ancient Mesopotamian civilization
Tashmetum,role,Goddess of hearing and supplication
Yarim-Lim I,title,King of Yamhad
Abi-Eshuh,notableEvent,Built fortifications and temples in Babylon
Birs Nimrud,near,modern city of Hillah
Kings of Eshnunna,knownFor,Legal codes
Babylonian astronomers,observed,planetary movements
Enlil,importance,One of the most important gods in Mesopotamian religion
Nabu-mukin-apli,predecessor,Nabu-shuma-ishkun
Kudurru inscriptions,purpose,legal documentation
Babylonian dynasty,notableRuler,Nebuchadnezzar II
Meli-Šipak,knownFrom,Kudurru inscriptions
Neo-Babylonian Empire,knownFor,Revival of Babylonian culture
Enuma Elish,describesCreationOf,the world
Kaneš,instanceOf,ancient city
King of Uruk,role,Ruler
Mattaniah,reignStart,597 BC
Ur-Ninurta,successor,Kudur-Mabuk
Babylonian region,notableRuler,Nebuchadnezzar II
Invasion of Babylon,occurredIn,Babylon
Cyrus the Great,instanceOf,Persian king
Golden Age of Islam,notableFor,advancements in philosophy
Sumu-la-El,reignPeriod,circa 1880–1845 BC
Kassite kings,language,Akkadian
Neo-Babylonian Empire,instanceOf,ancient empire
Battle of Qarqar,mentionedIn,Annals of Shalmaneser III
Hanging Gardens of Babylon,purpose,Terraced gardens
Akkadian Empire,instanceOf,ancient empire
Kings of Babylon,includes,Adad-apla-iddina
Sabium,title,King of Babylon
Babylonian New Year festival (Akitu),includedRitual,King's temporary humiliation
Jehoiachin,was king of,Judah
Akkadians,associatedWith,Babylonian Empire
Sin-shar-ishkun,death,612 BC
Cyaxares,fatherOf,Astyages
Sabium,reignPeriod,circa 1781–1767 BC
Enki,domain,Magic
City of Larsa,knownFor,Larsa dynasty
War with Assyria,timePeriod,ancient Mesopotamia
Babylonian King List,contains,names of Babylonian kings
Ashur-uballit II,reignPeriod,c. 612–609 BC
Modern-day Mosul,hasArchaeologicalSites,Nineveh ruins
Shamash festival,includedRituals,Offerings
Crown Prince of Babylon,responsibility,Governance and military leadership
26th Dynasty of Egypt,notableRuler,Apries
Babylonian territories,controlledBy,Babylonian kings
Code of Ammisaduqa,timePeriod,circa 1646–1626 BCE
Akkadian king,notableExample,Sargon of Akkad
Queen Sammuramat,instanceOf,Queen of Assyria
Nippur,instanceOf,ancient city
King Xerxes I,knownFor,Invasion of Greece
Necho II,dynasty,26th Dynasty of Egypt
Kassite kings,religion,Mesopotamian polytheism
Babylonian Empire,majorCity,Uruk
Shu-Ilishu,dynasty,First Dynasty of Isin
Second Dynasty of Isin,language,Akkadian
Nabû-kudurri-uṣur II,notableFor,Rebuilding Babylon
Amytis of Media,role,Queen consort of Babylon
Kassite kings,contributedTo,stability and prosperity of Babylon
Ashur-Dan III,predecessor,Shalmaneser IV
Old Babylonian dynasty,timePeriod,circa 2000–1600 BCE
Nabû-kudurri-uṣur II,built,Ishtar Gate
Babylonian cuneiform tablets,purpose,literature
Cyrus the Great,instanceOf,Conqueror
Neo-Assyrian Empire,timePeriod,911–609 BCE
Battle of Halule,instanceOf,battle
Meli-Šipak,instanceOf,King of Babylon
Kassite people,defeated,Hittites
Nabu,temple,Ezida
Dur-Sharrukin,knownFor,palace of Sargon II
Babylonian architecture,influencedBy,Sumerian architecture
Babylonia,knownFor,epic poetry
Babel,alsoKnownAs,Babylon
Nanna (Sin),alsoKnownAs,Sin
Kalhu,alsoKnownAs,Nimrud
Cambyses I,fatherOf,Cyrus the Great
Adad-shuma-usur,capital,Babylon
Asarluhi,syncretizedWith,Marduk
Teispes,instanceOf,King
Babylonian cuneiform tablets,writtenIn,cuneiform script
Victory Stele of Naram-Sin,height,about 2 meters
Shalmaneser IV,dynasty,Neo-Assyrian Empire
King of Sumer and Akkad,usedBy,Sargon of Akkad
Teispes,father,Achaemenes
Hammurabi's Code,includes,laws on civil rights
Confluence of Tigris and Euphrates rivers,formedBy,Tigris river
Sun God Utu,associatedWith,Law and justice
King Kashtiliash IV of Babylon,capital,Babylon
Babylon,ruledBy,King Nebuchadnezzar II
Abu al-Abbas al-Saffah,dynasty,Abbasid Caliphate
Babylonian law codes,purpose,regulate social and economic behavior
Anu,role,Father of the gods
Babylonian citizens,usedWritingSystem,cuneiform
Nebonidus,reignStart,556 BC
Ashurnasirpal II,religion,Ancient Mesopotamian religion
Babylon,knownFor,palaces
Carchemish,associatedWith,Hittite Empire
Main temple of Enlil,dedicatedTo,Enlil
Neo-Babylonian Empire,endedInYear,539 BC
Saite Dynasty,alsoKnownAs,Twenty-sixth Dynasty of Egypt
Achaemenid rule over Babylon,historicalSource,Cyrus Cylinder
Babylonian religion,influenced,Assyrian religion
Asarluhi,worshipedIn,ancient Babylon
Nabu-shum-ukin I,successor,Nabu-apla-iddina
Zagmuk,associatedWith,New Year
Babylonian citizens,engagedIn,agriculture
Assyrian records,instanceOf,historical documents
Babylon,knownFor,Babylonian legal system
Babylon,knownFor,architectural innovations
Arsaces II,instanceOf,King
Babil,destroyedIn,539 BC
Sexagesimal system,base,60
Lex Talionis,meaning,law of retaliation
Destruction of Babylon,location,Mesopotamia
Sin (moon god),fatherOf,Shamash
Mandane of Media,parent,Astyages
Queen consort of Babylon,influence,Political and cultural influence in Babylonian court
Enuma Elish,featuresDeity,Apsu
Persian conquest by Cyrus the Great,instanceOf,historical event
Kudur-Enlil,successor,Kara-indaš
Babylon under Hammurabi,location,Mesopotamia
Ancient Babylonian festival,included,New Year festival (Akitu)
Kassite,introduced,Kassite language
Shamash-mudammiq,title,King of Babylon
Babylonian law,preservedIn,ancient Mesopotamian tablets
Babylonian siege of Jerusalem,ledBy,Nebuchadnezzar II
Treaty of Kadesh,preservedIn,Hittite cuneiform tablets
Sumu-Epuh,reignPeriod,c. 18th century BC
Ekur,architecturalStyle,Sumerian temple architecture
Ancient Assyrian palace,instanceOf,Architectural structure
Modern Baghdad,capitalOf,Iraq
Neo-Babylonian Empire,lastKing,Nabonidus
King of the First Babylonian Dynasty,notableKing,Samsu-iluna
Ishtar Gate of Babylon,instanceOf,Ancient Monument
Adad-nirari II,contemporaryBabylonianKing,Nabu-shuma-ukin I
Battle of Qarqar,involvedKing,Hadadezer
Babylonian authorities,instanceOf,Ancient Babylonian governing body
Early Babylonian period,language,Akkadian
Ishbi-Erra,successor,Shu-Ilishu
Babylon,knownFor,Babylonian mathematics contributions
Kassite kings,knownFor,introducing Kassite dynasty to Babylon
Babylonia,knownFor,literature
Kingdom of Mari,hadTradeRelationsWith,Assyria
Cyrus Cylinder,significance,considered first charter of human rights
Ur,notableFor,early writing tablets
Babylon under Hammurabi,instanceOf,Ancient Babylonian period
Cyrus the Great,defeated,Nabonidus
Kudurru inscriptions,feature,depictions of gods
Modern Baghdad,foundedBy,Abu Jafar al-Mansur
Nebuchadnezzar II,sonOf,Nabopolassar
Palace of Ashurbanipal at Nineveh,locatedIn,Nineveh
Kassite Dynasty,notableKing,Kudur-Enlil
Nanna (Sin),mainCultCenter,Harran
Enuma Elish,influenced,later Mesopotamian mythology
Zimri-Lim,instanceOf,King
Babylonian architecture,instanceOf,architecture style
Zimri-Lim,father,Ishqi-Mari
Babylonian Empire,majorCity,Nippur
26th Dynasty of Egypt,alsoKnownAs,Saite Dynasty
Babylonian society,military,organized army
Temple of Sin,locatedIn,Ur
First Temple in Jerusalem,destroyedBy,Babylonian Empire
New Year festival (Akitu),celebratedIn,Babylon
Babylon,knownFor,astronomy and astrology
King of the First Babylonian Dynasty,timePeriod,circa 1894 BC to 1595 BC
Kudurru boundary stones,feature,religious symbols
Shubat-Enlil,instanceOf,ancient city
Kudurru inscriptions,material,stone
Assyrian army,notableFor,siege warfare techniques
Babylonian society,notableKing,Hammurabi
Babylonian siege of Jerusalem,instanceOf,siege
Conquest of Babylon by Cyrus the Great,method,surprise attack
Babylonian calendar,influenced,ancient Greek calendar
Marduk-apla-iddina I,notableFor,Restoration of Babylonian temples
Achaemenid control of Babylon,controlledBy,Achaemenid Empire
Samsu-Ditana,notableEvent,Fall of Babylon to the Hittites
Darius III,reignPeriod,336 BC to 330 BC
Lex Talionis,principle,an eye for an eye
Assyria,instanceOf,Ancient Mesopotamian Empire
Carchemish,battleParticipants,Babylonian Empire
Ancient Babylonian deity,worshipedIn,Ancient Babylon
Babylonian artifacts,usedFor,record keeping
Ammiditana,predecessor,Samsu-Ditana
Asarluhi,parent,Enki
Ancient Babylonian literature,language,Akkadian
Shalmaneser III,notableFor,Expansion of Assyrian Empire
Nabu,role,God of wisdom
Psamtik II,dynasty,26th Dynasty of Egypt
Sin (moon god),associatedWith,Wisdom
Palace in Babylon,notableFeature,Lavish decorations
Sumerian religion,belief,polytheism
Babylon,conqueredBy,Assyrian Empire
Neo-Assyrian period,notableRulers,Sennacherib
Mursili I,capital,Hattusa
Cyrus I,title,King
Dudu,instanceOf,King of Babylon
Kassite dynasty,maintained,Babylonian religious traditions
Sun God Utu,sibling,Inanna (Goddess of love and war)
Ishtar,role,goddess of war
Yamhad kingdom,hadRelationsWith,Assyria
Revolt of Marduk-apla-iddina II,leader,Marduk-apla-iddina II
Kings of Eshnunna,ruled,Eshnunna
Ancient Babylonian religion,includedRitual,divination
Babylonian temple complex,includes,Ziggurat of Etemenanki
Queen consort of Babylon,notableQueen,Amytis of Media
Babylonian siege of Jerusalem,resultedIn,destruction of Jerusalem
Abzu,relatedTo,Apsu
Southern Mesopotamia,majorCities,Uruk
Law Code of Hammurabi,createdIn,Babylon
Babylonia,knownFor,cuneiform tablets
Kadašman-Enlil II,language,Akkadian
Babylonian astronomers,knownFor,early development of astronomy
Nergal,parentOf,Ninurta
Assyrian library of Ashurbanipal,relatedTo,ancient Mesopotamian literature
Kaneš,historicalPeriod,Old Assyrian period
E-babbar,locatedIn,Larsa
Kassite,contributedTo,Babylonian culture
Babylonia,notableCity,Sippar
Marduk-balāssu-iqbi,instanceOf,King of Babylon
Babylonia,knownFor,temple complexes
Ekur temple,locatedIn,Babylon
Apries,instanceOf,Pharaoh of Egypt
Chaldean dynasty of Babylon,notableRuler,Nebuchadnezzar II
Cyrus the Great,captured,Babylon
Kurigalzu I,knownFor,building projects in Babylon
Babylonian society,familyStructure,patriarchal
Nintu,worshipedIn,ancient Babylon
Enlil-kudurri-usur,notableEvent,Defeat by Assyrian king Tukulti-Ninurta I
Babylonian society,mainOccupation,agriculture
Ur-Ninurta,reignPeriod,circa 1859–1832 BC
Atrahasis,appearsIn,Atrahasis Epic
Agum I,dynasty,Kassite dynasty
Ashurnasirpal II,expandedEmpire,Assyrian Empire
Babylonian calendar,yearStart,spring equinox
Ziggurat of Babylon,numberOfLevels,Seven levels
Siege by Cyrus the Great,occurredIn,Babylon
Kültepe,discovered,early 20th century
Ninyas,father,Sennacherib
Old Babylonian period,culturalSignificance,development of Babylonian law and literature
Naqi'a's Stele,instanceOf,ancient artifact
Babylonian god,instanceOf,Deity
Babylonian literature,influenced,later Mesopotamian literature
Sealand Dynasty,notableRuler,Ilum-ma-ili
Zagmuk,associatedWith,spring equinox
Persian Empire,known for,Achaemenid dynasty
Adad-nirari II,reignPeriod,911–891 BC
Achaemenid Empire period,notableRuler,Cyrus the Great
Birs Nimrud,builtDuring,Neo-Babylonian period
Kudurru inscriptions,feature,cuneiform writing
Sumerian language,periodOfUse,3rd millennium BCE to early 2nd millennium BCE
Sin (moon god),depictedAs,Bearded man with crescent moon
Neo-Assyrian period,notableRulers,Ashurbanipal
Babylonian Empire,economicActivity,Trade
Ancient Babylonian Empire,economicActivity,Trade
Ancient Assyria,famousKing,Ashurbanipal
Siege of Jerusalem (587 BC),conductedBy,Babylonian Empire
E-babbar,timePeriod,ancient Mesopotamia
Babylonian captivity of the Jews,result,Destruction of the First Temple
Nabonidus,title,Last King of Babylon
Queen of Babylon,notableQueen,Semiramis (legendary)
Neo-Babylonian period,knownFor,revival of Babylonian culture
Inanna,associatedWith,Fertility
Nebonidus,defeatedBy,Cyrus the Great
Kassite period,notableRuler,Agum II
Nabû-kudurri-uṣur II,instanceOf,King of Babylon
Sealand Dynasty,historicalContext,Post-Old Babylonian period
Esarhaddon,issued,royal inscriptions in Babylonian cuneiform
Kassites,contributedTo,Babylonian culture
Achaemenid Empire period,timeFrameStart,550 BCE
Assyrian army,activePeriod,circa 25th century BC to 7th century BC
Nabu-shuma-ukin I,notableFor,Conflicts with Assyria
Nanna (Sin),depictedAs,Bearded man with crescent moon
Akkadian cuneiform,usedFor,legal documents
Jehoiachin,reignEnd,597 BCE
Babylonian New Year festival (Akitu),significance,Ensured fertility and prosperity for the year
Cambyses I,instanceOf,King of Anshan
Nabonidus,father,Abeil
Carchemish,associatedWith,Neo-Assyrian Empire
Naqi'a's Stele,discoveredIn,Mesopotamia
Babylonian New Year festival (Akitu),celebratedDuring,Spring
Babylonian law codes,instanceOf,ancient legal codes
Ancient Babylonian festival,ritualsIncluded,offerings to gods
Dynasty of E,historicalSignificance,Foundation of Babylonian state
Evil-Merodach,knownFor,Releasing Jehoiachin from prison
Mattaniah,father,King Josiah of Judah
Ancient Babylonian Dynasty,ruledDuring,Ancient Mesopotamia
Ashur-nadin-apli,dynasty,Middle Assyrian Empire
Babylonian astronomers,studied,eclipses
Old Babylonian dynasty,precededBy,Akkadian Empire
Tiamat,represents,chaos and creation
Babylonia,famousKing,Hammurabi
Nabû,associatedWith,Babylon
Ancient Babylonian deity,examplesInclude,Enlil
Kassite kudurru stones,function,record land grants
Babylon,mentionedIn,Epic of Gilgamesh
Crown Prince of Babylon,associatedWith,Babylonian monarchy
Persian conquest under Cyrus the Great,instanceOf,historical event
Second Dynasty of Isin,capital,Babylon
Amorite dynasty,knownFor,Code of Hammurabi
Assyrian King Sennacherib,instanceOf,Assyrian King
Akkadian period,language,Akkadian
Naram-Sin,successor,Shar-Kali-Sharri
Nebonidus,fatherOf,Belshazzar
Tashmetum,associatedWith,Babylon
King Kurigalzu I,capital,Babylon
King Josiah of Judah,diedIn,Battle of Megiddo
Code of Hammurabi,discoveredAt,Susa (modern Iran)
Nanna (Sin),associatedWith,Lunar cycles
King Shulgi,knownFor,Administrative reforms
Akkadian Empire,knownFor,first ancient empire to unite city-states of Mesopotamia
Eanna temple complex,associatedWith,Sumerian civilization
Dragon (Sirrush),instanceOf,Mythical creature
Ishqi-Mari,title,King of Mari
Utu,worshipedIn,Sippar
King Nebuchadnezzar II,knownFor,Expansion of Babylon
Babylon under Hammurabi,governmentType,Monarchy
Tiamat,role,Primordial goddess of the salt sea
Sumu-Epuh,capital,Halab (Aleppo)
Kassite period,notableRuler,Burna-Buriash II
Enlil-nādin-apli,father,Nabu-kudurri-usur I
Shealtiel,role,Biblical figure
King of the Gods,instanceOf,Title
Achaemenid conquest of Babylon,followedBy,Achaemenid Empire rule over Babylon
City of Larsa,conqueredBy,Hammurabi
Kaneš,associatedWith,Assyrian merchants
Siege of Jerusalem (587 BC),occurredInYear,587 BC
Nazi-Maruttash,notableFor,Military campaigns against Assyria
Dragon (Sirrush),associatedWith,Ancient city of Babylon
Babylonian law,inscribedOn,stone stele
Babylonian Empire,timePeriod,circa 1894 BC to 539 BC
Nanna (Moon God),role,God of the Moon
Stele of Hammurabi,discoveredIn,Susa
Kudurru stones,locationFound,Mesopotamia
Teispes,reignPeriod,c. 675–640 BC
26th Dynasty of Egypt,instanceOf,Dynasty
Khorsabad,builtIn,8th century BCE
Goddess Inanna,associatedWith,Ancient Mesopotamian religion
Ancient Babylonian temple,notableExample,Esagila
Naram-Sin,title,King of Akkad
Law of retaliation,appliedTo,criminal offenses
Sargon of Akkad,languageSpoken,Akkadian
Assyrian reliefs,foundIn,Assyrian palaces
Chaldean Empire,notableConstruction,Hanging Gardens of Babylon
Akkadian period,timeframeStart,c. 2334 BCE
Revolt of Shamash-shum-ukin,Shamash-shum-ukin,King of Babylon
Nippur,role,spiritual capital of Sumer
Ancient Assyria,famousKing,Sargon II
Ammiditana,instanceOf,King of Babylon
Dragon (Sirrush),culturalSignificance,Protective deity figure in Babylonian mythology
Marduk,symbol,dragon (sirrush)
Assyrian conquest of Babylon,involved entity,Assyrian Empire
Jehu,instanceOf,King of Israel
Ekur,associatedWith,Sumerian gods
Amasis II,knownFor,Last great ruler of the Twenty-sixth Dynasty of Egypt
Adad-apla-iddina,religion,Ancient Mesopotamian religion
Babil,instanceOf,ancient city
Law of retaliation,instanceOf,legal principle
1st Dynasty of Isin,knownFor,revival of Sumerian culture
Apries,reignPeriod,589–570 BC
Babylonian people,knownFor,Contributions to mathematics
Dynasty IV of Babylon,notableRuler,Samsu-iluna
Gandaš,role,Founder of the First Dynasty of Babylon
Book of Ezekiel,mentions,Babylonian captivity
Babylonian cuneiform texts,writtenIn,cuneiform script
Assyrian trade colony,instanceOf,Ancient trading settlement
Asarluhi,child,Marduk
Jacques de Morgan,occupation,Mining engineer
Amorite,notableRuler,Hammurabi
Ea-mukin-zeri,reignPeriod,c. 1008 BC
Law Code of Hammurabi,discoveredAt,Susa (modern Iran)
Ishme-Dagan II,associatedWith,Ancient Assyria
Assyrian palaces,examplesInclude,Palace of Sargon II at Khorsabad
Adad-nirari III,hadInfluenceOver,Babylonian politics
Epic of Gilgamesh,contains,flood narrative
Babylonian society,socialStructure,hierarchical
Coniah,fatherOf,Shealtiel
Ur,archaeologicalSite,modern-day Iraq
Kaneš,archaeologicalSite,Kültepe
Enlil-kudurri-usur,successor,Nabu-mukin-apli
E-gishnugal,dedicatedTo,Nanna (Moon God)
Babylonian forces,instanceOf,Military forces
Akkadian,dialects,Assyrian
Sin,templeLocation,Ur
Samsu-iluna,notableEvent,Struggled to maintain the empire inherited from Hammurabi
Dynasty IV of Babylon,instanceOf,Babylonian dynasty
Meli-Šipak,religion,Ancient Mesopotamian religion
Gandaš,instanceOf,King of Babylon
Babylonian conquest of Judah,targeted,Kingdom of Judah
Middle Assyrian Empire,notableRuler,Tukulti-Ninurta I
Babylonian law codes,enforcedBy,Babylonian authorities
Al-Mansur,relationToBabylon,Ruled region including ancient Babylon during Abbasid period
Neo-Babylonian Empire,originatedFrom,Babylonian city-state
Dynasty III of Babylon,notableRuler,Karaindash
Tashritu,positionInYear,seventh month
Babylonian Empire,historicalPeriod,Old Babylonian period
Son of Nabonidus,historicalPeriod,Neo-Babylonian Empire
Babylonian Empire,knownFor,Hammurabi's Code
Nabu,role,God of scribes
Babylonian New Year festival (Akitu),includedRitual,Reenactment of creation myth
Utu,mythology,Judge of the dead
Arsaces I,conflictWith,Seleucid Empire
Akkadian King,instanceOf,Title
Hanging Gardens,description,Terraced gardens with exotic plants
Babylonian god,worshipedIn,Ancient Babylon
Siege of Samaria,resultedIn,Fall of Samaria
Ancient Babylonian Dynasty,timePeriod,circa 1894 BC to 539 BC
Babylonian society,architecture,ziggurats
Babylonian astrology,influenced,Hellenistic astrology
Achaemenid control of Babylon,startDate,539 BCE
Achaemenid conquest of Babylon,ledBy,Cyrus the Great
Babylonian astronomers,influenced,Greek astronomy
Mari archaeological site,locatedIn,modern-day Syria
City of Babylon,foundedBy,Amorites
Babylonian law codes,discoveredAt,Susa
Babylon,historicalSignificance,influenced later civilizations
Early Babylonian period,timeframe,circa 1894–1595 BCE
Dur-Kurigalzu,historicalPeriod,Middle Babylonian period
Neo-Babylonian period,knownFor,Hanging Gardens of Babylon (legendary)
Mari,importantFor,trade and diplomacy in ancient Mesopotamia
Behistun,date,circa 520 BCE
Ancient Babylonian Dynasty,capitalCity,Babylon
Nintu,depictedAs,mother goddess figure
Akkadian language,dialects,Assyrian
Persian conquest under Cyrus the Great,year,539 BCE
Palace at Nimrud,discoveredBy,Austen Henry Layard
Ezida,dedicatedTo,Nabu
Ziggurat of Dur-Kurigalzu,builtBy,Kassite dynasty
Old Babylonian,capital,Babylon
Adad-apla-iddina,capital,Babylon
Cyrus I,region,Persia
Siege of Babylon (539 BC),method,Surprise attack through river
Nabonidus,notableFor,Restoration of ancient temples
Enlil-nadin-shumi,successor,Adad-shuma-usur
Babylonian people,timePeriod,circa 1894 BC to 539 BC
Marduk-šāpik-zēri,notableFor,Maintaining Babylonian independence
Psamtik II,instanceOf,Pharaoh of Egypt
Utu,role,Sun god
Agum I,reignPeriod,circa 18th century BC
Burna-Buriaš III,notableEvent,Treaty with Assyria
Simanu,correspondsTo,May-June in Gregorian calendar
Enlil,worshipedIn,Ekur temple in Nippur
Kalhu,instanceOf,Ancient city
Psamtik I,reignPeriod,664–610 BC
Isin kingdom,culture,Sumerian and Akkadian
Hammurabi,reignPeriod,c. 1792 BC – c. 1750 BC
Babylon,ruledBy,King Hammurabi
City of Larsa,majorEconomicActivity,Trade
Sumu-abum,reignEnd,circa 1881 BC
Goddess Ishtar,associatedWith,Ancient Babylon
Enlil Temple (Ekur),instanceOf,ancient temple
Babylon,knownFor,Hammurabi's Code
Carchemish,locatedOn,Euphrates River
Babylon,notableEvent,Fall of Babylon
Babil,capitalOf,Babylonian Empire
Inanna,role,Queen of Heaven
Hammurabi's Code,includes,laws on trade
Seleucia on the Tigris,servedAs,capital of the Seleucid Empire
Birs Nimrud,function,ziggurat (temple tower)
Jeremiah,associatedWith,Ancient Babylon
Dadusha,location,Eshnunna
Tigris river,flowsThrough,Mesopotamia
Dynasty III of Babylon,language,Akkadian
Nabû-kudurri-uṣur I,capital,Babylon
Babylonian artifacts,foundIn,Iraq
Third Dynasty of Ur,instanceOf,Ancient Mesopotamian dynasty
Epic of Gilgamesh,contains,adventures of Gilgamesh and Enkidu
Queen consort of Babylon,responsibility,Religious and ceremonial duties
King Hammurabi of Babylon,religion,Ancient Mesopotamian religion
Akkadian art,timePeriod,circa 2334–2154 BCE
Teispes,son,Cyrus I
Queen consort of Babylon,associatedWith,Babylonian Empire
Kadashman-Enlil I,notableAchievement,Conducted military campaigns in Assyria
Atrahasis,relatedTo,Creation of humans
Battle of Nineveh (612 BC),involvedEntity,Assyrian Empire
Hittite sack of Babylon,ledTo,end of the First Babylonian Dynasty
Babylonian artifacts,include,statues
Siege of Babylon (689 BC),historicalSignificance,Marked Assyrian dominance over Babylon
Kassite kudurru,origin,Babylon
Eanna,function,Religious worship
Babil,conqueredBy,Achaemenid Empire
Zagmuk,purpose,celebration of the New Year and renewal
Burnaburiash II,successor,Kadašman-Enlil I
End of the First Babylonian Dynasty,date,c. 1595 BC
Enlil,mythologyOrigin,Sumerian and Akkadian cultures
